"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"阅读","904","","","",""
"读书","681","","","",""
"书","547","","","",""
"我们","388","","","",""
"看书","352","","","",""
"读","335","","","",""
"孩子","276","","","",""
"自己","276","","","",""
"一个","268","","","",""
"可以","264","","","",""
"时间","263","","","",""
"习惯","209","","","",""
"更","180","","","",""
"中国","179","","","",""
"没有","168","","","",""
"书籍","156","","","",""
"知识","146","","","",""
"如果","143","","","",""
"问题","135","","","",""
"想","124","","","",""
"很多","121","","","",""
"这个","121","","","",""
"阅读器","115","","","",""
"电子书","114","","","",""
"喜欢","110","","","",""
"做","110","","","",""
"能够","107","","","",""
"时候","105","","","",""
"这样","99","","","",""
"重要","98","","","",""
"学习","93","","","",""
"生活","93","","","",""
"需要","91","","","",""
"一些","89","","","",""
"因为","88","","","",""
"学生","82","","","",""
"电子","81","","","",""
"他们","81","","","",""
"兴趣","80","","","",""
"提高","80","","","",""
"每天","80","","","",""
"养成","78","","","",""
"内容","77","","","",""
"可能","75","","","",""
"思考","75","","","",""
"长","73","","","",""
"爱","72","","","",""
"如何","72","","","",""
"方式","70","","","",""
"写","70","","","",""
"觉得","69","","","",""
"但是","68","","","",""
"能力","68","","","",""
"所以","67","","","",""
"比较","67","","","",""
"培养","67","","","",""
"方法","66","","","",""
"应该","65","","","",""
"高","64","","","",""
"这些","63","","","",""
"信息","63","","","",""
"选择","63","","","",""
"文章","62","","","",""
"教育","61","","","",""
"还是","60","","","",""
"图书馆","58","","","",""
"工作","58","","","",""
"电视","57","","","",""
"一定","57","","","",""
"好处","57","","","",""
"过程","56","","","",""
"故事","56","","","",""
"社会","54","","","",""
"对于","54","","","",""
"世界","54","","","",""
"为什","53","","","",""
"完","53","","","",""
"开始","53","","","",""
"一样","52","","","",""
"太","52","","","",""
"通过","52","","","",""
"比如","52","","","",""
"​","51","","","",""
"或者","51","","","",""
"手机","51","","","",""
"成为","51","","","",""
"图书","50","","","",""
"现在","50","","","",""
"带","50","","","",""
"小说","49","","","",""
"事","49","","","",""
"看到","48","","","",""
"听","48","","","",""
"讲","48","","","",""
"分享","47","","","",""
"个人","47","","","",""
"价","47","","","",""
"朋友","47","","","",""
"大脑","47","","","",""
"小时","46","","","",""
"知道","45","","","",""
"其实","45","","","",""
"认为","45","","","",""
"已经","45","","","",""
"作者","44","","","",""
"非常","44","","","",""
"理解","44","","","",""
"买","43","","","",""
"成功","43","","","",""
"阅读量","42","","","",""
"分钟","41","","","",""
"思维","40","","","",""
"笔记","40","","","",""
"国民","40","","","",""
"文化","40","","","",""
"页","40","","","",""
"而且","39","","","",""
"件","39","","","",""
"东西","38","","","",""
"事情","38","","","",""
"发现","38","","","",""
"回答","38","","","",""
"学","38","","","",""
"推荐","37","","","",""
"甚至","37","","","",""
"国","37","","","",""
"获得","37","","","",""
"人生","36","","","",""
"网络","36","","","",""
"老师","36","","","",""
"有些","36","","","",""
"人们","36","","","",""
"自我","36","","","",""
"幼儿","36","","","",""
"新","34","","","",""
"以及","34","","","",""
"各种","34","","","",""
"找到","34","","","",""
"经过","33","","","",""
"就是","33","","","",""
"经常","33","","","",""
"三","33","","","",""
"走","33","","","",""
"其他","33","","","",""
"变","33","","","",""
"功能","33","","","",""
"解决","33","","","",""
"地方","32","","","",""
