"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"책을","559","","","",""
"책","212","","","",""
"읽는","197","","","",""
"있는","163","","","",""
"독서","163","","","",""
"있다","144","","","",""
"더","126","","","",""
"읽지","101","","","",""
"대한","94","","","",""
"있습니다","84","","","",""
"많이","83","","","",""
"문학","80","","","",""
"독서는","79","","","",""
"독서의","79","","","",""
"것이다","74","","","",""
"읽고","74","","","",""
"가장","72","","","",""
"것이","72","","","",""
"통해","71","","","",""
"읽을","70","","","",""
"읽어야","69","","","",""
"책의","69","","","",""
"1","68","","","",""
"책은","68","","","",""
"않는","66","","","",""
"독서가","64","","","",""
"독서를","64","","","",""
"중","62","","","",""
"잘","60","","","",""
"전자책","56","","","",""
"7","55","","","",""
"9","55","","","",""
"4","54","","","",""
"5","54","","","",""
"위해","54","","","",""
"책이","52","","","",""
"로","51","","","",""
"한다","50","","","",""
"것을","50","","","",""
"나는","50","","","",""
"2","48","","","",""
"을","48","","","",""
"좋은","47","","","",""
"것으로","47","","","",""
"3","46","","","",""
"내가","44","","","",""
"합니다","44","","","",""
"전자책을","44","","","",""
"는","42","","","",""
"큰","42","","","",""
"다양한","42","","","",""
"6","41","","","",""
"성인","41","","","",""
"없다","41","","","",""
"0","40","","","",""
"사람들이","40","","","",""
"읽은","39","","","",""
"연간","38","","","",""
"읽기","38","","","",""
"새로운","37","","","",""
"것입니다","36","","","",""
"2021","35","","","",""
"건","35","","","",""
"학생","35","","","",""
"포인트","35","","","",""
"이유","35","","","",""
"10","34","","","",""
"의","34","","","",""
"학생은","33","","","",""
"를","33","","","",""
"에","33","","","",""
"독서에","33","","","",""
"중요한","33","","","",""
"가","33","","","",""
"기자","33","","","",""
"8","32","","","",""
"아니다","32","","","",""
"때문이다","32","","","",""
"따르면","32","","","",""
"내","32","","","",""
"독서율은","31","","","",""
"종이책","31","","","",""
"않은","31","","","",""
"읽으면","31","","","",""
"책에","30","","","",""
"위한","30","","","",""
"우리가","30","","","",""
"글을","30","","","",""
"된다","30","","","",""
"2020","29","","","",""
"시간이","29","","","",""
"데","29","","","",""
"해","29","","","",""
"”","29","","","",""
"우리는","29","","","",""
"이","29","","","",""
"지식을","28","","","",""
"없는","28","","","",""
"될","28","","","",""
"사람이","28","","","",""
"특히","28","","","",""
"필요한","27","","","",""
"지난","27","","","",""
"않는다","27","","","",""
"보는","27","","","",""
"도움이","27","","","",""
"경험을","27","","","",""
"12","26","","","",""
"볼","26","","","",""
"독서량은","26","","","",""
"사람은","26","","","",""
"11","25","","","",""
"것도","25","","","",""
"소설","25","","","",""
"나타났다","25","","","",""
"모든","25","","","",""
"날","25","","","",""
"세계","25","","","",""
"두","24","","","",""
"책과","24","","","",""
"평균","24","","","",""
"이를","24","","","",""
"매우","24","","","",""
"종이책을","24","","","",""
"전","23","","","",""
"스스로","23","","","",""
"있다는","23","","","",""
"쉽게","23","","","",""
"꼭","23","","","",""
"보고","23","","","",""
"INS","22","","","",""
"출판사","22","","","",""
"gt","22","","","",""
"있었다","22","","","",""
"읽는다","22","","","",""
"읽으면서","22","","","",""
"나의","22","","","",""
"우리나라","22","","","",""
"생각을","21","","","",""
"에서","21","","","",""
"말한다","21","","","",""
"라는","21","","","",""
"크게","21","","","",""
"다","21","","","",""
"됩니다","21","","","",""
"60","20","","","",""
"아닌","20","","","",""
"독서량이","20","","","",""
"07","20","","","",""
"정보","20","","","",""
"역시","20","","","",""
"전체","20","","","",""
"20대","20","","","",""
"없이","20","","","",""
"읽기를","20","","","",""
"인간의","20","","","",""
"세상을","20","","","",""
"자신의","20","","","",""
"책으로","20","","","",""
"디지털","20","","","",""
"있고","20","","","",""
"했다","20","","","",""
"한국","19","","","",""
"쓰는","19","","","",""
"과","19","","","",""
"되고","19","","","",""
"있을","19","","","",""
"있지만","19","","","",""
"학교","19","","","",""
"여러","19","","","",""
"정보를","19","","","",""
"자신이","19","","","",""
"04","19","","","",""
"라고","19","","","",""
"읽게","19","","","",""
"14","18","","","",""
"이후","18","","","",""
"권","18","","","",""
"없어서","18","","","",""
"비해","18","","","",""
"없습니다","18","","","",""
"영향을","18","","","",""
"경험이","18","","","",""
"장은수","18","","","",""
"시간을","18","","","",""
"사람들은","18","","","",""
"것","18","","","",""
"가지고","18","","","",""
"생각","18","","","",""
"있게","18","","","",""
"독서신문","18","","","",""
"고","18","","","",""
"아이가","18","","","",""
"능력을","18","","","",""
"한국의","17","","","",""
"조사","17","","","",""
"지난해","17","","","",""
"은","17","","","",""
"정말","17","","","",""
"최근","17","","","",""
"이미","17","","","",""
"아주","17","","","",""
"등을","17","","","",""
"―","17","","","",""
"싶은","17","","","",""
"너무","17","","","",""
"자주","17","","","",""
"저는","17","","","",""
"com","17","","","",""
"23","16","","","",""
"2017","16","","","",""
"이제","16","","","",""
"1년간","16","","","",""
"성인은","16","","","",""
"대상으로","16","","","",""
"해서","16","","","",""
"전자책은","16","","","",""
"관련","16","","","",""
"이는","16","","","",""
"또는","16","","","",""
"더욱","16","","","",""
"사실","16","","","",""
"권을","16","","","",""
"분야의","16","","","",""
"항상","16","","","",""
"사람","16","","","",""
"어릴","16","","","",""
"내용을","16","","","",""
"한다는","16","","","",""
"살","16","","","",""
"생각하는","16","","","",""
"듣다","16","","","",""
"학생들의","16","","","",""
"08","16","","","",""
"인간은","16","","","",""
"뇌","16","","","",""
"29","15","","","",""
"전혀","15","","","",""
"05","15","","","",""
"독서량","15","","","",""
"일이","15","","","",""
"있다고","15","","","",""
"경우","15","","","",""
"주로","15","","","",""
"되지","15","","","",""
"실제로","15","","","",""
"그냥","15","","","",""
"된","15","","","",""
"알고","15","","","",""
"직접","15","","","",""
"생각이","15","","","",""
"이야기를","15","","","",""
"학생의","15","","","",""
"그는","15","","","",""
"습관이","14","","","",""
"독서율","14","","","",""
"2015년","14","","","",""
"도서","14","","","",""
"1권","14","","","",""
"말했다","14","","","",""
"도서관","14","","","",""
"정도","14","","","",""
"않았다","14","","","",""
"별로","14","","","",""
"것처럼","14","","","",""
"때","14","","","",""
"독서율이","14","","","",""
"젊은","14","","","",""
"차이가","14","","","",""
"처음","14","","","",""
"쓴","14","","","",""
"책들을","14","","","",""
"굉장히","14","","","",""
"습관을","14","","","",""
"해야","14","","","",""
"사람의","14","","","",""
"뇌는","14","","","",""
"시대에","14","","","",""
"제가","14","","","",""
"때는","14","","","",""
"아이들이","14","","","",""
"1명당","14","","","",""
"않습니다","14","","","",""
"25","13","","","",""
"10명","13","","","",""
"사는","13","","","",""
"있기","13","","","",""
"반면","13","","","",""
"분야","13","","","",""
"국민","13","","","",""
"있도록","13","","","",""
"못","13","","","",""
"어려운","13","","","",""
"점점","13","","","",""
"그의","13","","","",""
"인간","13","","","",""
"취미가","13","","","",""
"많다","13","","","",""
"하고","13","","","",""
"걸","13","","","",""
"겁니다","13","","","",""
"책읽기를","13","","","",""
"읽으며","13","","","",""
"느낄","13","","","",""
"번","13","","","",""
"15","12","","","",""
"16","12","","","",""
"18","12","","","",""
"19","12","","","",""
"2010","12","","","",""
"인터넷","12","","","",""
"2년","12","","","",""
"학생이","12","","","",""
"같다","12","","","",""
"만드는","12","","","",""
"역사","12","","","",""
"아는","12","","","",""
"사회","12","","","",""
"독서와","12","","","",""
"가지","12","","","",""
"통한","12","","","",""
"40대","12","","","",""
"인간이","12","","","",""
"2019년보다","12","","","",""
"필요가","12","","","",""
"글","12","","","",""
"저자","12","","","",""
