"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"阅读","904","","","",""
"书","691","","","",""
"读书","681","","","",""
"我们","478","","","",""
"读","398","","","",""
"看书","352","","","",""
"孩子","333","","","",""
"一个","322","","","",""
"自己","321","","","",""
"可以","308","","","",""
"中国","291","","","",""
"时间","289","","","",""
"更","259","","","",""
"​","253","","","",""
"习惯","219","","","",""
"问题","206","","","",""
"没有","202","","","",""
"书籍","193","","","",""
"做","187","","","",""
"知识","187","","","",""
"学习","176","","","",""
"如果","167","","","",""
"月","165","","","",""
"这个","163","","","",""
"想","161","","","",""
"电子书","154","","","",""
"喜欢","147","","","",""
"很多","138","","","",""
"生活","125","","","",""
"时候","124","","","",""
"需要","117","","","",""
"能够","116","","","",""
"阅读器","115","","","",""
"这样","114","","","",""
"重要","112","","","",""
"教育","110","","","",""
"信息","109","","","",""
"知道","108","","","",""
"电子","106","","","",""
"一些","103","","","",""
"写","101","","","",""
"分享","101","","","",""
"文章","100","","","",""
"因为","100","","","",""
"内容","98","","","",""
"回答","96","","","",""
"页","95","","","",""
"爱","94","","","",""
"兴趣","93","","","",""
"提高","93","","","",""
"长","93","","","",""
"如何","93","","","",""
"新","92","","","",""
"他们","92","","","",""
"学生","90","","","",""
"可能","89","","","",""
"高","88","","","",""
"图书馆","88","","","",""
"每天","86","","","",""
"思考","86","","","",""
"方法","86","","","",""
"推荐","84","","","",""
"选择","84","","","",""
"方式","83","","","",""
"贴","81","","","",""
"养成","80","","","",""
"太","79","","","",""
"价","79","","","",""
"这些","78","","","",""
"觉得","77","","","",""
"手机","77","","","",""
"还是","76","","","",""
"但是","76","","","",""
"所以","76","","","",""
"培养","76","","","",""
"能力","76","","","",""
"关注","75","","","",""
"应该","74","","","",""
"一定","74","","","",""
"故事","74","","","",""
"工作","73","","","",""
"比较","71","","","",""
"评论","71","","","",""
"通过","71","","","",""
"社会","70","","","",""
"买","70","","","",""
"世界","70","","","",""
"个人","69","","","",""
"网","69","","","",""
"带","69","","","",""
"开始","69","","","",""
"作者","68","","","",""
"为什","68","","","",""
"电视","68","","","",""
"现在","67","","","",""
"完","67","","","",""
"好处","67","","","",""
"新闻","65","","","",""
"小时","64","","","",""
"对于","64","","","",""
"发现","64","","","",""
"略","64","","","",""
"岁","63","","","",""
"比如","63","","","",""
"美国","62","","","",""
"□","62","","","",""
"国","61","","","",""
"过程","61","","","",""
"优点","61","","","",""
"或者","60","","","",""
"事","60","","","",""
"成为","60","","","",""
"使用","59","","","",""
"讲","59","","","",""
"大脑","59","","","",""
"缺点","59","","","",""
"一样","58","","","",""
"文化","57","","","",""
"学","57","","","",""
"看到","56","","","",""
"听","56","","","",""
"朋友","56","","","",""
"获得","54","","","",""
"三","54","","","",""
"东西","54","","","",""
"帮助","54","","","",""
"图书","53","","","",""
"小说","53","","","",""
"其实","53","","","",""
"笔记","53","","","",""
"认为","52","","","",""
"已经","52","","","",""
"——","52","","","",""
"走","52","","","",""
"号","51","","","",""
"分钟","51","","","",""
"思维","50","","","",""
"成功","50","","","",""
"第一","49","","","",""
"纸质","49","","","",""
"网络","48","","","",""
"甚至","48","","","",""
"所有","48","","","",""
"非常","48","","","",""
"理解","48","","","",""
"大学","47","","","",""
"就是","46","","","",""
"人生","45","","","",""
"有些","45","","","",""
"事情","44","","","",""
"赞同","44","","","",""
"解决","44","","","",""
"登录","43","","","",""
"相关","43","","","",""
"件","43","","","",""
"请","42","","","",""
"微信","42","","","",""
"阅读量","42","","","",""
"免费","42","","","",""
