"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"책을","734","","","",""
"책","372","","","",""
"권","371","","","",""
"o","370","","","",""
"있는","327","","","",""
"있다","303","","","",""
"년","301","","","",""
"읽는","288","","","",""
"더","270","","","",""
"호","212","","","",""
"독서","205","","","",""
"대한","189","","","",""
"있습니다","180","","","",""
"가장","155","","","",""
"많이","153","","","",""
"co","152","","","",""
"전체","147","","","",""
"전자책","129","","","",""
"INS","128","","","",""
"통해","124","","","",""
"로","123","","","",""
"잘","122","","","",""
"읽고","120","","","",""
"것이다","118","","","",""
"대","118","","","",""
"읽지","114","","","",""
"것이","114","","","",""
"문학","113","","","",""
"읽을","110","","","",""
"위해","109","","","",""
"책은","108","","","",""
"책의","108","","","",""
"않는","104","","","",""
"좋은","97","","","",""
"한다","97","","","",""
"뉴스","96","","","",""
"만","94","","","",""
"책이","93","","","",""
"일","91","","","",""
"내가","91","","","",""
"합니다","88","","","",""
"을","87","","","",""
"중","86","","","",""
"것을","85","","","",""
"관련","84","","","",""
"에","83","","","",""
"는","82","","","",""
"댓글","81","","","",""
"바로가기","80","","","",""
"기자","79","","","",""
"것으로","79","","","",""
"독서는","79","","","",""
"독서의","79","","","",""
"내","77","","","",""
"위한","77","","","",""
"나는","76","","","",""
"이유","75","","","",""
"건","75","","","",""
"를","75","","","",""
"전자책을","75","","","",""
"종이책","74","","","",""
"이슈","74","","","",""
"다양한","73","","","",""
"가","72","","","",""
"의","72","","","",""
"새로운","71","","","",""
"월","71","","","",""
"학생","71","","","",""
"”","71","","","",""
"큰","70","","","",""
"기사","69","","","",""
"읽어야","69","","","",""
"보는","69","","","",""
"볼","68","","","",""
"읽은","68","","","",""
"IFRAME","68","","","",""
"읽기","68","","","",""
"닫기","68","","","",""
"두","67","","","",""
"사람들이","67","","","",""
"문화","66","","","",""
"없다","66","","","",""
"연재","66","","","",""
"디지털","65","","","",""
"jg","65","","","",""
"경우","64","","","",""
"독서가","64","","","",""
"독서를","64","","","",""
"없는","63","","","",""
"gt","63","","","",""
"우리가","62","","","",""
"검색","62","","","",""
"사회","61","","","",""
"해","60","","","",""
"kr","60","","","",""
"가나다라마바사","60","","","",""
"것입니다","59","","","",""
"않은","58","","","",""
"이","58","","","",""
"글을","58","","","",""
"로그인","58","","","",""
"서울","57","","","",""
"경제","57","","","",""
"보고","57","","","",""
"본문","57","","","",""
"다","57","","","",""
"시간이","56","","","",""
"연간","56","","","",""
"지난","56","","","",""
"세","56","","","",""
"페이스북","55","","","",""
"정보","55","","","",""
"책에","54","","","",""
"등을","54","","","",""
"전","54","","","",""
"따르면","53","","","",""
"중요한","53","","","",""
"원","52","","","",""
"특히","52","","","",""
"나의","52","","","",""
"전자책은","52","","","",""
"칼럼","52","","","",""
"정치","51","","","",""
"때문이다","51","","","",""
"쓰는","51","","","",""
"사람이","51","","","",""
