"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"lire","453","","","",""
"lecture","430","","","",""
"livres","345","","","",""
"lisent","289","","","",""
"jeunes","277","","","",""
"l","239","","","",""
"livre","224","","","",""
"ans","201","","","",""
"d","195","","","",""
"français","164","","","",""
"est","150","","","",""
"temps","148","","","",""
"lecteurs","124","","","",""
"qu","108","","","",""
"2022","104","","","",""
"numérique","101","","","",""
"c","94","","","",""
"15","79","","","",""
"étude","78","","","",""
"7","71","","","",""
"anonyme","71","","","",""
"lit","70","","","",""
"papier","66","","","",""
"enfants","66","","","",""
"ils","64","","","",""
"button","64","","","",""
"numériques","64","","","",""
"monde","63","","","",""
"n","62","","","",""
"25","61","","","",""
"s","60","","","",""
"1","59","","","",""
"chose","59","","","",""
"littérature","55","","","",""
"faire","55","","","",""
"internet","52","","","",""
"plaisir","51","","","",""
"2","49","","","",""
"france","47","","","",""
"il","44","","","",""
"enquête","44","","","",""
"culture","44","","","",""
"romans","43","","","",""
"également","43","","","",""
"audio","43","","","",""
"3","42","","","",""
"24","42","","","",""
"parents","42","","","",""
"loisirs","42","","","",""
"5","41","","","",""
"lu","41","","","",""
"garçons","40","","","",""
"19","39","","","",""
"résultats","39","","","",""
"on","39","","","",""
"j","38","","","",""
"pratiques","38","","","",""
"10","37","","","",""
"femmes","37","","","",""
"davantage","37","","","",""
"âge","37","","","",""
"national","36","","","",""
"cnl","36","","","",""
"déclarent","36","","","",""
"ligne","36","","","",""
"élèves","36","","","",""
"12","35","","","",""
"faut","35","","","",""
"jour","35","","","",""
"réseaux","34","","","",""
"oui","34","","","",""
"11","33","","","",""
"presse","33","","","",""
"pratique","33","","","",""
"hommes","32","","","",""
"t","32","","","",""
"sociaux","32","","","",""
"semaine","32","","","",""
"mangas","32","","","",""
"4","31","","","",""
"société","31","","","",""
"cookies","31","","","",""
"écran","31","","","",""
"liseuse","31","","","",""
"mars","30","","","",""
"centre","30","","","",""
"paris","30","","","",""
"bonne","30","","","",""
"envie","30","","","",""
"–","29","","","",""
"20","28","","","",""
"téléphone","28","","","",""
"aiment","28","","","",""
"avant","28","","","",""
"moment","27","","","",""
"liseuses","27","","","",""
"article","26","","","",""
"déjà","26","","","",""
