"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"lecture","900","","","",""
"l","758","","","",""
"livres","668","","","",""
"d","603","","","",""
"livre","547","","","",""
"lire","494","","","",""
"numérique","460","","","",""
"button","453","","","",""
"jeunes","437","","","",""
"france","423","","","",""
"2022","383","","","",""
"ans","363","","","",""
"lisent","289","","","",""
"est","287","","","",""
"lecteurs","279","","","",""
"français","264","","","",""
"temps","242","","","",""
"résultats","241","","","",""
"actualitté","229","","","",""
"monde","227","","","",""
"qu","196","","","",""
"15","182","","","",""
"figaro","178","","","",""
"c","173","","","",""
"culture","173","","","",""
"s","170","","","",""
"littérature","169","","","",""
"usages","169","","","",""
"amp","166","","","",""
"presse","161","","","",""
"numériques","158","","","",""
"élections","150","","","",""
"1","149","","","",""
"n","148","","","",""
"2021","146","","","",""
"bleu","144","","","",""
"10","143","","","",""
"papier","140","","","",""
"12","139","","","",""
"législatives","136","","","",""
"médias","135","","","",""
"2","134","","","",""
"11","131","","","",""
"étude","131","","","",""
"lit","127","","","",""
"partager","124","","","",""
"article","122","","","",""
"faire","121","","","",""
"audio","120","","","",""
"enfants","119","","","",""
"7","114","","","",""
"il","108","","","",""
"internet","108","","","",""
"5","107","","","",""
"19","106","","","",""
"édition","106","","","",""
"3","105","","","",""
"jeux","104","","","",""
"20","103","","","",""
"jour","102","","","",""
"achat","101","","","",""
"anonyme","100","","","",""
"voir","98","","","",""
"25","97","","","",""
"société","97","","","",""
"année","97","","","",""
"–","97","","","",""
"enquête","96","","","",""
"pratiques","95","","","",""
"guide","94","","","",""
"site","93","","","",""
"on","93","","","",""
"com","92","","","",""
"sne","92","","","",""
"nouvelle","92","","","",""
"paris","91","","","",""
"ils","91","","","",""
"24","90","","","",""
"histoire","90","","","",""
"chose","90","","","",""
"romans","89","","","",""
"actualité","88","","","",""
"baromètre","87","","","",""
"in","86","","","",""
"lu","86","","","",""
"politique","86","","","",""
"vie","86","","","",""
"publié","84","","","",""
"4","83","","","",""
"services","82","","","",""
"ligne","81","","","",""
"également","81","","","",""
"promo","81","","","",""
"emploi","80","","","",""
"faut","80","","","",""
"élèves","80","","","",""
"janvier","79","","","",""
"vidéos","78","","","",""
"16","77","","","",""
"loisirs","77","","","",""
"réseaux","77","","","",""
"santé","77","","","",""
"fr","77","","","",""
"compte","76","","","",""
"tv","76","","","",""
"2020","75","","","",""
"centre","75","","","",""
"parents","75","","","",""
"jeunesse","74","","","",""
"vous","73","","","",""
"place","72","","","",""
"17","71","","","",""
"national","71","","","",""
"télévision","71","","","",""
"sociaux","71","","","",""
"twitter","71","","","",""
"programme","70","","","",""
"facebook","70","","","",""
"cookies","69","","","",""
"voyage","69","","","",""
"14","68","","","",""
"française","68","","","",""
"2019","67","","","",""
"moment","67","","","",""
"t","67","","","",""
"03","67","","","",""
"roman","67","","","",""
"application","66","","","",""
"un","66","","","",""
"29","65","","","",""
"savoir","65","","","",""
"grand","65","","","",""
"plaisir","65","","","",""
"“","65","","","",""
"journal","64","","","",""
"auteurs","64","","","",""
"j","64","","","",""
"part","64","","","",""
"”","64","","","",""
"6","63","","","",""
"grande","63","","","",""
"déjà","63","","","",""
"recherche","62","","","",""
"cnl","62","","","",""
"série","62","","","",""
"demande","61","","","",""
"de","61","","","",""
"elle","61","","","",""
"pratique","61","","","",""
"maison","61","","","",""
"prix","60","","","",""
"articles","60","","","",""
"actu","59","","","",""
"mangas","59","","","",""
"mars","58","","","",""
"mots","58","","","",""
"écran","58","","","",""
"13","57","","","",""
"femmes","57","","","",""
"musique","57","","","",""
"vidéo","57","","","",""
"légales","57","","","",""
"mois","57","","","",""
"nombre","57","","","",""
"crise","57","","","",""
"âge","57","","","",""
"bibliothèque","57","","","",""
"code","57","","","",""
"30","56","","","",""
"commentaires","56","","","",""
"rapport","55","","","",""
"2018","54","","","",""
"newsletters","54","","","",""
"format","54","","","",""
"23","53","","","",""
"accueil","53","","","",""
"oui","53","","","",""
"jamais","53","","","",""
"bonne","53","","","",""
"années","53","","","",""
"18","52","","","",""
"000","52","","","",""
"cinéma","52","","","",""
"mail","52","","","",""
"sofia","52","","","",""
"économie","52","","","",""
"points","52","","","",""
"nouvelles","52","","","",""
"confinement","52","","","",""
"groupe","51","","","",""
"décembre","51","","","",""
"ouvrages","51","","","",""
"jeune","51","","","",""
"podcasts","51","","","",""
"lectures","51","","","",""
"semaine","51","","","",""
"26","50","","","",""
"pays","50","","","",""
"davantage","50","","","",""
"the","50","","","",""
